Eval_ID,Q_c,Q_l,R_u,mu,R_T,Z_l,z_l,Mean_Reward,Min_Reward,Success_Rate,Mean_Time,TR_Length
174,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6106.839864421788,764.1452188724077,97.96087548963081,0.75,13.435,0.0125
175,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6087.513076670388,754.5165210717674,50.3060842870698,0.75,10.379999999999999,0.0125
176,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6068.853344793332,758.8474842209872,75.36993688394904,0.75,12.340000000000002,0.0125
177,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6042.645708910429,530.6607983161432,46.85800516072598,0.5,11.9,0.0125
178,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6056.489143287268,750.1139264190376,44.45570567615083,0.75,12.21,0.00625
179,658.9478366672993,1063.6614862680435,27.762358259409666,2.7898178517818453,550.3373526930809,55.26856256288773,25032.560270411974,37.05887250763995,1.8265335680398616,0.0,2.125,0.8
180,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6051.395041619335,92.35070973041991,48.58318560078924,0.0,10.285,0.8
181,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6055.262459459126,767.5057356723088,103.38294268923522,0.75,11.545,0.8
182,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6024.25567379954,546.8776156547925,94.99411854702458,0.5,13.129999999999999,0.8
183,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6035.62143690752,767.7074976424531,109.80999056981209,0.75,12.385,0.8
184,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,5999.368622403789,286.8201276273302,31.685570031885526,0.25,8.315,0.8
185,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6039.494059481684,542.1767016759507,95.94921445608702,0.5,11.675,0.8
186,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6051.61019107775,328.7881710753826,100.65524714625474,0.25,12.235,0.4
187,1.0,1.0,1000.0,0.1,1.0,316227.7660168379,6075.535108789066,533.696211523496,44.689586696666254,0.5,11.865,0.4
